VMname,RGname,subnet
SPHEREboardQA02,Network-QA-rg,"""/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/Network-QA-rg/providers/Microsoft.Network/virtualNetworks/SPHEREBOARD-QA-VNET/subnets/default"""
SPHEREboardQA03,Network-QA-rg,"""/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/Network-QA-rg/providers/Microsoft.Network/virtualNetworks/SPHEREBOARD-QA-VNET/subnets/default"""
SPHEREboardQA04,Network-QA-rg,"""/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/Network-QA-rg/providers/Microsoft.Network/virtualNetworks/SPHEREBOARD-QA-VNET/subnets/default"""
SPHEREboardQA05,Network-QA-rg,"""/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/Network-QA-rg/providers/Microsoft.Network/virtualNetworks/SPHEREBOARD-QA-VNET/subnets/default"""
SPHEREboardQA06,Network-QA-rg,"""/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/Network-QA-rg/providers/Microsoft.Network/virtualNetworks/SPHEREBOARD-QA-VNET/subnets/default"""
SPHEREboardQA07,Network-QA-rg,"""/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/Network-QA-rg/providers/Microsoft.Network/virtualNetworks/SPHEREBOARD-QA-VNET/subnets/default"""
SPHEREboardQA08,Network-QA-rg,"""/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/Network-QA-rg/providers/Microsoft.Network/virtualNetworks/SPHEREBOARD-QA-VNET/subnets/default"""
SPHEREboardQA09,Network-QA-rg,"""/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/Network-QA-rg/providers/Microsoft.Network/virtualNetworks/SPHEREBOARD-QA-VNET/subnets/default"""
SPHEREboardQA10,Network-QA-rg,"""/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/Network-QA-rg/providers/Microsoft.Network/virtualNetworks/SPHEREBOARD-QA-VNET/subnets/default"""
SPHEREboardQA11,Network-QA-rg,"""/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/Network-QA-rg/providers/Microsoft.Network/virtualNetworks/SPHEREBOARD-QA-VNET/subnets/default"""
SPHEREboardQA12,Network-QA-rg,"""/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/Network-QA-rg/providers/Microsoft.Network/virtualNetworks/SPHEREBOARD-QA-VNET/subnets/default"""
SPHEREboardQA13,Network-QA-rg,"""/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/Network-QA-rg/providers/Microsoft.Network/virtualNetworks/SPHEREBOARD-QA-VNET/subnets/default"""
SPHEREboardQA14,Network-QA-rg,"""/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/Network-QA-rg/providers/Microsoft.Network/virtualNetworks/SPHEREBOARD-QA-VNET/subnets/default"""
SPHEREboardQA15,Network-QA-rg,"""/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/Network-QA-rg/providers/Microsoft.Network/virtualNetworks/SPHEREBOARD-QA-VNET/subnets/default"""
SPHEREboardQA16,Network-QA-rg,"""/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/Network-QA-rg/providers/Microsoft.Network/virtualNetworks/SPHEREBOARD-QA-VNET/subnets/default"""
SPHEREDC01,SphereUS-VNET-rg,"""/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/SphereUs-VNET-rg/providers/Microsoft.Network/virtualNetworks/SPHERE-INTERNAL-VNET/subnets/default"""
SphereDevSQL01,Network-DEV-rg,"""/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/Network-DEV-rg/providers/Microsoft.Network/virtualNetworks/SPHEREBOARD-DEV-VNET/subnets/default"""
SPHEREExch2010,SphereUS-VNET-rg,"""/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/SphereUs-VNET-rg/providers/Microsoft.Network/virtualNetworks/SPHERE-INTERNAL-VNET/subnets/default"""
SphereUAT,Network-UAT-rg,"""/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/Network-UAT-rg/providers/Microsoft.Network/virtualNetworks/SPHEREBOARD-UAT-VNET/subnets/default"""
SPsvr,Network-DEV-rg,"""/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/Network-DEV-rg/providers/Microsoft.Network/virtualNetworks/SPHEREBOARD-DEV-VNET/subnets/default"""
SQL01-UAT,Network-UAT-rg,"""/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/Network-UAT-rg/providers/Microsoft.Network/virtualNetworks/SPHEREBOARD-UAT-VNET/subnets/default"""
SQL02-UAT,Network-UAT-rg,"""/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/Network-UAT-rg/providers/Microsoft.Network/virtualNetworks/SPHEREBOARD-UAT-VNET/subnets/default"""
sql-SB-Dev,Network-DEV-rg,"""/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/Network-DEV-rg/providers/Microsoft.Network/virtualNetworks/SPHEREBOARD-DEV-VNET/subnets/default"""
SQL-SB-QA,Network-QA-rg,"""/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/Network-QA-rg/providers/Microsoft.Network/virtualNetworks/SPHEREBOARD-QA-VNET/subnets/default"""
SQLserver,SphereUS-VNET-rg,"""/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/SphereUs-VNET-rg/providers/Microsoft.Network/virtualNetworks/SPHERE-INTERNAL-VNET/subnets/default"""
SQLSERVER02,Network-UAT-rg,"""/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/Network-UAT-rg/providers/Microsoft.Network/virtualNetworks/SPHEREBOARD-UAT-VNET/subnets/default"""
SysAdVM01,SphereUS-VNET-rg,"""/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/SphereUs-VNET-rg/providers/Microsoft.Network/virtualNetworks/SPHERE-INTERNAL-VNET/subnets/default"""
UAT-RedHat,Network-UAT-rg,"""/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/Network-UAT-rg/providers/Microsoft.Network/virtualNetworks/SPHEREBOARD-UAT-VNET/subnets/default"""
